City,Country,latitude,longitude,form_id,id_string,title,url
London,United Kingdom,51.501764,-0.129772,697754,aKypeqUnjucKthA56BJvuX,"gCSD2021 | London, United Kingdom",https://kc.kobotoolbox.org/api/v1/data/697754?format=json
"Los Alamos, New Mexico",United States,35.891111,-106.297778,698418,aXRENC5gUeDeptC93DjuAn,"gCSD2021 | Los Alamos, New Mexico, United States",https//kc.kobotoolbox.org/api/v1/data/698418?format=json
Marseille,France,43.295021,5.37449,698426,aNK69AuLUjTYotpcapr95P,"gCSD2021 | Marseille, France",https://kc.kobotoolbox.org/api/v1/data/698426?format=json
"Matsudo, Chiba",Japan,35.787639, 139.903167,703489,awmec8wSStSWptrZsvx6bQ,"gCSD2021 | Matsudo, Chiba, Japan",https//kc.kobotoolbox.org/api/v1/data/703489?format=json
Miami,United States,25.775163,-80.208615,698450,aTZtmisHnwgnZpe4AwuHrz,"gCSD2021 | Miami, United States",https//kc.kobotoolbox.org/api/v1/data/698450?format=json
Montevideo,Uruguay,-34.8210176,-56.3768668,698455,avqgekPgVzbqqBNT7Whuvd,"gCSD2021 | Montevideo, Uruguay",https//kc.kobotoolbox.org/api/v1/data/698455?format=json
Murree,Pakistan,33.904167,73.390278,697661,aefuxNahy3EiyPcLJamieT,"gCSD2021 | Murree, Pakistan",https://kc.kobotoolbox.org/api/v1/data/697661?format=json
New York City,United States,40.713054, -74.007228,698557,ayqNvXJLBfKLUP38owk7me,"gCSD2021 | New York City, United States",https//kc.kobotoolbox.org/api/v1/data/698557?format=json
Niigata Prefecture,Japan,37.845706,138.986464,703653,a5uT6hjqFsDPEAN3oeNAjT,"gCSD2021 | Niigata Prefecture, Japan",https://kc.kobotoolbox.org/api/v1/data/703653?format=json
"Nonoichi, Ishikawa",Japan,33.2266052,131.5586847,703625,a8MGtTsMBLNneC9p5autDz,"gCSD2021 | Nonoichi, Ishikawa, Japan",https://kc.kobotoolbox.org/api/v1/data/703625?format=json
Oita,Japan,33.233333,131.606667,704223,arZK7mr4KyNhLwxJ5gdqVE,"gCSD2021 | Oita, Japan",https://kc.kobotoolbox.org/api/v1/data/704223?format=json
Oslo,Norway,59.913889,10.752222,698460,aTwFJwDsARNs88L2JFKeYm,"gCSD2021 | Oslo, Norway",https//kc.kobotoolbox.org/api/v1/data/698460?format=json
Paris,France,48.856613,2.352222,698471,auhbxjGhVndNH4w7fKhDWW,"gCSD2021 | Paris, France",https//kc.kobotoolbox.org/api/v1/data/698471?format=json
Porto,Portugal,41.158131,-8.628992,698476,aRSK4U5oCmDJAcnPfzTsKS,"gCSD2021 | Porto, Portugal",https//kc.kobotoolbox.org/api/v1/data/698476?format=json
Sacramento,United States,38.580746,-121.485466,698485,aJiyprxHJYQJCjGfknxFzK,"gCSD2021 | Sacramento, United States",https://kc.kobotoolbox.org/api/v1/data/698485?format=json
Santiago,Chile,-33.44819,-70.673857,698491,awWUUpB3LuJDsREUyoqkxF,"gCSD2021 | Santiago, Chile",https//kc.kobotoolbox.org/api/v1/data/698491?format=json
São Paulo,Brazil,-23.462739,-46.667425,698499,aNtLzSJcaNeymKyMNgmiCP,"gCSD2021 | Sao Paulo, Brazil",https://kc.kobotoolbox.org/api/v1/data/698499?format=json
"Sapporo, Hokkaido",Japan,43.066667, 141.35,703610,aTA2HVm3uVGBYahmqdRT8t,"gCSD2021 | Sapporo, Japan",https//kc.kobotoolbox.org/api/v1/data/703610?format=json
"Sasebo, Nagasaki",Japan,33.1804,129.7158,703648,aTcJqCfrQrSATCcktkoDRW,"gCSD2021 | Sasebo, Nagasaki, Japan",https//kc.kobotoolbox.org/api/v1/data/703648?format=json
"Seattle, Washington",United States,47.603229, -122.33028,698501,am62isBaDjYV4wVBvPbEXu,"gCSD2021 | Seattle, Washington, United States",https://kc.kobotoolbox.org/api/v1/data/698501?format=json
"Sendai, Miyagi",Japan,38.282577,140.872716,703638,aeUPsB3zo3NKJkKkBkWH3i,"gCSD2021 | Sendai, Miyagi, Japan",https://kc.kobotoolbox.org/api/v1/data/703638?format=json
Seoul,Republic of Korea,37.558406,126.986789,697663,avt5poUzuYe2r6xq2y5sPa,"gCSD2021 | Seoul, Republic of Korea",https//kc.kobotoolbox.org/api/v1/data/697663?format=json
Shizuoka Prefecture,Japan,35.030338,138.363297,703674,abBiji6TCWrFL5kWY9MUjD,"gCSD2021 | Shizuoka Prefecture, Japan",https://kc.kobotoolbox.org/api/v1/data/703674?format=json
Singapore,Republic of Singapore,1.355408,103.848085,698508,aYP69H4oYA699F85yZbStC,"gCSD2021 | Singapore, Republic of Singapore",https//kc.kobotoolbox.org/api/v1/data/698508?format=json
Stockholm,Sweden,59.330428,18.066556,698527,aUNrNx8A8j6GUWhw6z6VKs,"gCSD2021 | Stockholm, Sweden",https//kc.kobotoolbox.org/api/v1/data/698527?format=json
Stuttgart,Germany,48.777111,9.18077,698509,adQZDAZQNxHxJkAFHEUGZV,"gCSD2021 | Stuttgart, Germany",https://kc.kobotoolbox.org/api/v1/data/698509?format=json
Tokyo,Japan,35.6804,139.769,703694,aAeiTQCydoQBdng3BH4MMe,"gCSD2021 | Tokyo, Japan",https://kc.kobotoolbox.org/api/v1/data/703694?format=json
Toronto,Canada,43.737507,-79.391111,697742,aeD4e3u4zB65AmWLRFpTF6,"gCSD2021 | Toronto, Canada",https://kc.kobotoolbox.org/api/v1/data/697742?format=json
"Toyota, Aichi",Japan,35.082444,137.156333,703465,abRWT5vWUTxJtvDty3on7v,"gCSD2021 | Toyota, Aichi, Japan",https://kc.kobotoolbox.org/api/v1/data/703465?format=json
Ulaanbaatar,Mongolia,47.879793,106.697832,698512,achS4h5QSwdkJsXDYF2uAy,"gCSD2021 | Ulaanbaatar, Mongolia",https://kc.kobotoolbox.org/api/v1/data/698512?format=json
Vienna,Austria,48.205887,16.369034,698516,aFujR9d9iwJeBy8vjPViKe,"gCSD2021 | Vienna, Austria",https://kc.kobotoolbox.org/api/v1/data/698516?format=json
Yamaguchi,Japan,34.235993,131.465689,703676,aCDyKcyJPiktvSNVsJXnrB,"gCSD2021 | Yamaguchi, Japan",https://kc.kobotoolbox.org/api/v1/data/703676?format=json
Zürich,Switzerland,47.37718,8.536371,697552,a82UqEycjxEZz5GeBN5A7i,"gCSD2021 | Zurich, Switzerland",https://kc.kobotoolbox.org/api/v1/data/697552?format=json
Dublin,Ireland,53.342686,-6.267118,704238,aFYcpKpt4uUpZgZqvCwazk,"gCSD2021 | Dublin, Ireland",https://kc.kobotoolbox.org/api/v1/data/704238?format=json
"Izumisano, Osaka",Japan,34.4,135.333333,704224,aD3UtX5Ax7y7gnP7KhDZDb,"gCSD2021 | Izumisano, Osaka, Japan",https://kc.kobotoolbox.org/api/v1/data/704224?format=json
Long Island,United States,40.78536224,-73.1349833,704225,aZAf6u5KbLfaZUa662Fi42,"gCSD2021 | Long Island, United States",https://kc.kobotoolbox.org/api/v1/data/704225?format=json
Sophia,Bulgaria,42.696491,23.32601,704226,aCDkcVevxv8GjxrZP77poE,"gCSD2021 | Sophia, Bulgaria",https://kc.kobotoolbox.org/api/v1/data/704226?format=json
